Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
System Idle Process	44.79	52 K	8 K	0		
System	2.73	156 K	140 K	4		
 Interrupts	0.78	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		448 K	1,200 K	300	Windows Session Manager	Microsoft Corporation
 Memory Compression	< 0.01	104 K	7,212 K	1720		
csrss.exe	0.10	1,688 K	4,920 K	404	Client Server Runtime Process	Microsoft Corporation
wininit.exe		1,276 K	6,356 K	508	Windows Start-Up Application	Microsoft Corporation
 services.exe	0.05	4,468 K	9,092 K	644	Services and Controller app	Microsoft Corporation
  svchost.exe		944 K	3,956 K	744	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.01	8,720 K	23,960 K	840	Host Process for Windows Services	Microsoft Corporation
   WmiPrvSE.exe		8,676 K	17,852 K	4476	WMI Provider Host	Microsoft Corporation
   ShellExperienceHost.exe	Suspended	28,704 K	80,236 K	4348	Windows Shell Experience Host	Microsoft Corporation
   RuntimeBroker.exe	< 0.01	4,040 K	22,356 K	4180	Runtime Broker	Microsoft Corporation
   SearchUI.exe	Suspended	90,468 K	146,056 K	5128	Search and Cortana application	Microsoft Corporation
   RuntimeBroker.exe		7,368 K	25,944 K	5312	Runtime Broker	Microsoft Corporation
   SkypeBackgroundHost.exe	Suspended	1,816 K	10,592 K	5744	Microsoft Skype	Microsoft Corporation
   dllhost.exe		1,960 K	9,860 K	6136	COM Surrogate	Microsoft Corporation
   RuntimeBroker.exe	< 0.01	8,268 K	31,464 K	4992	Runtime Broker	Microsoft Corporation
   SystemSettings.exe	0.22	20,560 K	65,832 K	3676	Settings	Microsoft Corporation
   ApplicationFrameHost.exe		7,556 K	26,908 K	3632	Application Frame Host	Microsoft Corporation
   WmiPrvSE.exe		10,552 K	17,600 K	6728	WMI Provider Host	Microsoft Corporation
   smartscreen.exe		14,120 K	36,504 K	4284	Windows Defender SmartScreen	Microsoft Corporation
  svchost.exe	0.16	5,660 K	11,908 K	892	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	< 0.01	2,176 K	7,320 K	940	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.01	8,748 K	17,956 K	716	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,312 K	5,492 K	368	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,052 K	9,696 K	936	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,824 K	11,276 K	1036	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,920 K	10,232 K	1120	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		16,748 K	19,504 K	1168	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.01	4,104 K	8,292 K	1196	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,128 K	7,340 K	1252	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.14	5,632 K	14,796 K	1304	Host Process for Windows Services	Microsoft Corporation
   taskhostw.exe		5,536 K	15,384 K	3536	Host Process for Windows Tasks	Microsoft Corporation
   MusNotification.exe	0.44	1,448 K	5,400 K	3580	MusNotificationBroker	Microsoft Corporation
